Return_ID,Order_ID,Return_Reason,Refund_Amount,Return_Status
RET-10123,ORD-500936,Damaged in Transit,292801.21,Approved
RET-10124,ORD-500950,Defective Product,174641.94,Approved
RET-10125,ORD-500951,Wrong Item,7246.47,Approved
RET-10126,ORD-500969,Defective Product,33839.98,Approved
RET-10127,ORD-500983,Wrong Item,0.0,Rejected
RET-10128,ORD-500990,Damaged in Transit,2201.08,Pending
RET-10129,ORD-501006,Defective Product,87711.46,Approved
RET-10130,ORD-501011,Wrong Item,70302.93,Approved
RET-10131,ORD-501023,Defective Product,724.84,Pending
RET-10132,ORD-501027,Customer Dissatisfaction,232464.65,Approved
RET-10133,ORD-501048,Defective Product,8778.87,Approved
RET-10134,ORD-501050,Size Issue,114422.96,Pending
RET-10135,ORD-501056,Damaged in Transit,54626.01,Approved
RET-10136,ORD-501057,Damaged in Transit,5400.85,Approved
RET-10137,ORD-501058,Defective Product,4369.72,Approved
RET-10138,ORD-501070,Defective Product,3744.36,Approved
RET-10139,ORD-501072,Late Delivery,1259.4,Approved
RET-10140,ORD-501089,Size Issue,81.67,Approved
RET-10141,ORD-501092,Damaged in Transit,597.27,Approved
RET-10142,ORD-501094,Damaged in Transit,13528.0,Approved
RET-10143,ORD-501097,Customer Dissatisfaction,180173.71,Approved
RET-10144,ORD-501104,Wrong Item,12903.51,Approved
RET-10145,ORD-501136,Customer Dissatisfaction,6032.0,Approved
RET-10146,ORD-501142,Customer Dissatisfaction,2654.61,Approved
RET-10147,ORD-501144,Damaged in Transit,170725.29,Approved
RET-10148,ORD-501146,Customer Dissatisfaction,4427.82,Pending
RET-10149,ORD-501152,Late Delivery,3281.49,Approved
RET-10150,ORD-501157,Damaged in Transit,0.0,Rejected
RET-10151,ORD-501160,Size Issue,3117.75,Approved
RET-10152,ORD-501177,Customer Dissatisfaction,12937.94,Pending
RET-10153,ORD-501178,Customer Dissatisfaction,66595.3,Approved
RET-10154,ORD-501179,Damaged in Transit,7458.75,Approved
RET-10155,ORD-501181,Customer Dissatisfaction,2365.39,Approved
RET-10156,ORD-501191,Wrong Item,5935.93,Approved
RET-10157,ORD-501204,Late Delivery,67969.44,Pending
RET-10158,ORD-501212,Wrong Item,26638.5,Approved
RET-10159,ORD-501219,Size Issue,45806.62,Approved
RET-10160,ORD-501233,Customer Dissatisfaction,15805.3,Pending
RET-10161,ORD-501237,Wrong Item,0.0,Rejected
RET-10162,ORD-501244,Wrong Item,10878.81,Pending
RET-10163,ORD-501249,Wrong Item,1354.67,Approved
RET-10164,ORD-501252,Damaged in Transit,25004.05,Approved
RET-10165,ORD-501262,Customer Dissatisfaction,108735.45,Approved
RET-10166,ORD-501276,Late Delivery,4586.83,Approved
RET-10167,ORD-501282,Wrong Item,33114.85,Approved
RET-10168,ORD-501286,Damaged in Transit,78416.81,Approved
RET-10169,ORD-501294,Wrong Item,2020.46,Pending
RET-10170,ORD-501308,Customer Dissatisfaction,4837.23,Approved
RET-10171,ORD-501317,Size Issue,29364.4,Approved
RET-10172,ORD-501335,Customer Dissatisfaction,23407.35,Approved
RET-10173,ORD-501336,Wrong Item,158048.9,Approved
RET-10174,ORD-501341,Late Delivery,172152.48,Approved
RET-10175,ORD-501362,Customer Dissatisfaction,0.0,Rejected
RET-10176,ORD-501364,Defective Product,2583.21,Approved
RET-10177,ORD-501382,Wrong Item,423.16,Approved
RET-10178,ORD-501383,Wrong Item,6084.53,Approved
RET-10179,ORD-501412,Size Issue,121426.14,Approved
RET-10180,ORD-501414,Defective Product,1655.07,Pending
RET-10181,ORD-501416,Damaged in Transit,8964.16,Approved
RET-10182,ORD-501418,Late Delivery,0.0,Rejected
RET-10183,ORD-501427,Size Issue,163509.88,Approved
RET-10184,ORD-501430,Size Issue,1881.82,Pending
RET-10185,ORD-501434,Damaged in Transit,23122.13,Approved
RET-10186,ORD-501438,Size Issue,10656.7,Approved
RET-10187,ORD-501450,Late Delivery,2153.32,Approved
RET-10188,ORD-501452,Size Issue,0.0,Rejected
RET-10189,ORD-501474,Late Delivery,536.33,Approved
RET-10190,ORD-501478,Size Issue,17171.11,Approved
RET-10191,ORD-501484,Defective Product,136243.73,Approved
RET-10192,ORD-501491,Customer Dissatisfaction,9906.45,Approved
RET-10193,ORD-501492,Size Issue,24521.1,Approved
RET-10194,ORD-501494,Wrong Item,21818.15,Approved
RET-10195,ORD-501496,Customer Dissatisfaction,7091.79,Approved
RET-10196,ORD-501503,Defective Product,0.0,Rejected
RET-10197,ORD-501505,Customer Dissatisfaction,765.26,Pending
RET-10198,ORD-501516,Wrong Item,19696.64,Approved
RET-10199,ORD-501527,Size Issue,11919.92,Approved
RET-10200,ORD-501529,Wrong Item,179925.09,Approved
RET-10201,ORD-501538,Wrong Item,2836.2,Approved
RET-10202,ORD-501541,Defective Product,27516.98,Approved
RET-10203,ORD-501551,Size Issue,19051.02,Approved
RET-10204,ORD-501559,Wrong Item,0.0,Rejected
RET-10205,ORD-501574,Size Issue,79769.86,Pending
RET-10206,ORD-501587,Late Delivery,0.0,Rejected
RET-10207,ORD-501593,Damaged in Transit,61415.26,Approved
RET-10208,ORD-501606,Customer Dissatisfaction,0.0,Rejected
RET-10209,ORD-501609,Damaged in Transit,3455.15,Approved
RET-10210,ORD-501624,Damaged in Transit,33920.92,Approved
RET-10211,ORD-501625,Size Issue,0.0,Rejected
RET-10212,ORD-501626,Defective Product,13754.67,Approved
RET-10213,ORD-501637,Size Issue,0.0,Rejected
RET-10214,ORD-501641,Defective Product,15340.71,Approved
RET-10215,ORD-501651,Customer Dissatisfaction,56.35,Pending
RET-10216,ORD-501661,Defective Product,26445.26,Pending
RET-10217,ORD-501669,Defective Product,3177.8,Approved
RET-10218,ORD-501678,Defective Product,4608.5,Approved
RET-10219,ORD-501684,Customer Dissatisfaction,136783.71,Approved
RET-10220,ORD-501688,Customer Dissatisfaction,0.0,Rejected
RET-10221,ORD-501691,Size Issue,101736.32,Approved
RET-10222,ORD-501692,Size Issue,0.0,Rejected
RET-10223,ORD-501703,Wrong Item,33598.62,Approved
RET-10224,ORD-501706,Defective Product,203123.71,Approved
RET-10225,ORD-501725,Damaged in Transit,42361.54,Pending
RET-10226,ORD-501741,Late Delivery,1971.73,Approved
RET-10227,ORD-501742,Customer Dissatisfaction,15592.35,Approved
RET-10228,ORD-501749,Wrong Item,5733.58,Pending
RET-10229,ORD-501752,Defective Product,12488.24,Approved
RET-10230,ORD-501753,Customer Dissatisfaction,18721.38,Pending
RET-10231,ORD-501760,Wrong Item,92709.7,Approved
RET-10232,ORD-501776,Customer Dissatisfaction,50924.79,Approved
RET-10233,ORD-501779,Damaged in Transit,68421.52,Pending
RET-10234,ORD-501781,Wrong Item,5212.45,Approved
RET-10235,ORD-501788,Defective Product,1406.67,Approved
RET-10236,ORD-501793,Late Delivery,798.21,Approved
RET-10237,ORD-501806,Damaged in Transit,8335.77,Approved
RET-10238,ORD-501818,Size Issue,3876.29,Approved
RET-10239,ORD-501846,Wrong Item,0.0,Rejected
RET-10240,ORD-501849,,90233.2,Approved
RET-10241,ORD-501851,Wrong Item,17909.79,Approved
RET-10242,ORD-501852,Wrong Item,83574.71,Approved
RET-10243,ORD-501858,Size Issue,53446.86,Approved
RET-10244,ORD-501870,Wrong Item,0.0,Rejected
RET-10245,ORD-501874,Late Delivery,10239.84,Approved
RET-10246,ORD-501875,Damaged in Transit,149420.49,Approved
RET-10247,ORD-501878,Customer Dissatisfaction,113014.08,Approved
RET-10248,ORD-501879,,11452.9,Approved
RET-10249,ORD-501887,Damaged in Transit,0.0,Rejected
RET-10250,ORD-501891,Defective Product,14372.9,Approved
RET-10251,ORD-501900,Customer Dissatisfaction,19265.43,Approved
RET-10252,ORD-501909,,72941.48,Approved
RET-10253,ORD-501910,Customer Dissatisfaction,3993.4,Approved
RET-10254,ORD-501914,Damaged in Transit,2816.01,Approved
RET-10255,ORD-501919,Damaged in Transit,107963.17,Approved
RET-10256,ORD-501922,Size Issue,0.0,Rejected
RET-10257,ORD-501924,Damaged in Transit,0.0,Rejected
RET-10258,ORD-501937,Damaged in Transit,5469.08,Approved
RET-10259,ORD-501938,Damaged in Transit,49303.96,Approved
RET-10260,ORD-501944,Late Delivery,4280.17,Approved
RET-10261,ORD-501951,Late Delivery,91787.76,Approved
RET-10262,ORD-501969,Damaged in Transit,89444.78,Pending
RET-10263,ORD-501975,Wrong Item,144422.5,Approved
RET-10264,ORD-501976,Damaged in Transit,20814.74,Approved
RET-10265,ORD-501981,Wrong Item,7756.89,Approved
RET-10266,ORD-501984,Wrong Item,0.0,Rejected
RET-10267,ORD-501991,Defective Product,160859.92,Approved
RET-10268,ORD-501998,Defective Product,10919.56,Approved
RET-10269,ORD-502004,Customer Dissatisfaction,23285.24,Approved
RET-10270,ORD-502005,Size Issue,1557.22,Approved
RET-10271,ORD-502015,Customer Dissatisfaction,26151.43,Pending
RET-10272,ORD-502036,Damaged in Transit,39022.35,Pending
RET-10273,ORD-502038,Customer Dissatisfaction,1487.21,Pending
RET-10274,ORD-502065,Defective Product,32374.83,Pending
RET-10275,ORD-502066,Wrong Item,4170.06,Approved
RET-10276,ORD-502067,Wrong Item,11597.07,Approved
RET-10277,ORD-502077,Size Issue,36011.45,Approved
RET-10278,ORD-502085,Late Delivery,12326.98,Approved
RET-10279,ORD-502093,Damaged in Transit,5109.23,Approved
RET-10280,ORD-502107,Wrong Item,0.0,Rejected
RET-10281,ORD-502112,Customer Dissatisfaction,3081.22,Approved
RET-10282,ORD-502115,Customer Dissatisfaction,48203.42,Approved
RET-10283,ORD-502119,Damaged in Transit,1474.62,Approved
RET-10284,ORD-502122,Customer Dissatisfaction,144242.67,Approved
RET-10285,ORD-502135,Defective Product,615.76,Pending
RET-10286,ORD-502137,Late Delivery,12123.8,Approved
RET-10287,ORD-502141,Wrong Item,33672.29,Pending
RET-10288,ORD-502147,Wrong Item,1511.16,Approved
RET-10289,ORD-502150,Size Issue,58747.58,Approved
RET-10290,ORD-502158,Wrong Item,82809.76,Approved
RET-10291,ORD-502171,Customer Dissatisfaction,35022.94,Approved
RET-10292,ORD-502179,Customer Dissatisfaction,0.0,Rejected
RET-10293,ORD-502181,Late Delivery,1285.16,Pending
RET-10294,ORD-502195,Damaged in Transit,0.0,Rejected
RET-10295,ORD-502200,Damaged in Transit,12098.02,Approved
RET-10296,ORD-502216,Customer Dissatisfaction,2976.43,Approved
RET-10297,ORD-502221,Wrong Item,0.0,Rejected
RET-10298,ORD-502230,Customer Dissatisfaction,0.0,Rejected
RET-10299,ORD-502237,Damaged in Transit,0.0,Rejected
RET-10300,ORD-502242,Damaged in Transit,25795.74,Approved
RET-10301,ORD-502251,Late Delivery,80300.39,Approved
RET-10302,ORD-502256,Late Delivery,9022.34,Approved
RET-10303,ORD-502273,Defective Product,32039.28,Approved
RET-10304,ORD-502275,Size Issue,16919.01,Approved
RET-10305,ORD-502290,Damaged in Transit,3549.54,Approved
RET-10306,ORD-502292,Size Issue,20672.06,Approved
RET-10307,ORD-502304,Wrong Item,0.0,Rejected
RET-10308,ORD-502309,Damaged in Transit,18036.58,Approved
RET-10309,ORD-502310,Customer Dissatisfaction,4551.01,Approved
RET-10310,ORD-502315,Defective Product,0.0,Rejected
RET-10311,ORD-502333,Defective Product,14336.24,Approved
RET-10312,ORD-502340,Customer Dissatisfaction,17395.15,Approved
RET-10313,ORD-502343,Defective Product,4067.2,Approved
RET-10314,ORD-502352,Customer Dissatisfaction,3047.4,Approved
RET-10315,ORD-502360,Customer Dissatisfaction,307292.89,Approved
RET-10316,ORD-502362,Defective Product,25525.78,Approved
RET-10317,ORD-502368,Wrong Item,159687.69,Approved
RET-10318,ORD-502371,Customer Dissatisfaction,8752.68,Pending
RET-10319,ORD-502374,Late Delivery,54529.98,Approved
RET-10320,ORD-502376,Wrong Item,0.0,Rejected
RET-10321,ORD-502382,Wrong Item,13668.33,Approved
RET-10322,ORD-502386,Customer Dissatisfaction,10064.37,Approved
RET-10323,ORD-502388,Customer Dissatisfaction,13879.33,Approved
RET-10324,ORD-502397,Size Issue,1093.97,Approved
RET-10325,ORD-502399,Customer Dissatisfaction,208506.85,Approved
RET-10326,ORD-502402,Size Issue,13927.6,Pending
RET-10327,ORD-502407,Late Delivery,943.98,Approved
RET-10328,ORD-502408,Defective Product,53886.61,Approved
RET-10329,ORD-502423,Late Delivery,14708.73,Approved
RET-10330,ORD-502425,Customer Dissatisfaction,7519.48,Approved
RET-10331,ORD-502426,Size Issue,126786.92,Approved
RET-10332,ORD-502431,Late Delivery,217348.8,Approved
RET-10333,ORD-502437,Size Issue,162241.18,Approved
RET-10334,ORD-502443,Wrong Item,282092.0,Approved
RET-10335,ORD-502450,Customer Dissatisfaction,17331.17,Approved
RET-10336,ORD-502451,Defective Product,103334.62,Approved
RET-10337,ORD-502475,Customer Dissatisfaction,5946.99,Approved
RET-10338,ORD-502482,Defective Product,3117.9,Approved
RET-10339,ORD-502484,Customer Dissatisfaction,7435.73,Approved
RET-10340,ORD-502489,Late Delivery,4193.27,Approved
RET-10341,ORD-502499,Late Delivery,78801.71,Pending
RET-10342,ORD-502504,Customer Dissatisfaction,32925.63,Approved
RET-10343,ORD-502523,Customer Dissatisfaction,90814.99,Approved
RET-10344,ORD-502524,Late Delivery,5016.95,Approved
RET-10345,ORD-502528,Defective Product,0.0,Rejected
RET-10346,ORD-502539,Wrong Item,28776.35,Approved
RET-10347,ORD-502542,Late Delivery,65283.53,Approved
RET-10348,ORD-502546,Size Issue,0.0,Rejected
RET-10349,ORD-502551,Size Issue,0.0,Rejected
RET-10350,ORD-502558,Wrong Item,145250.8,Approved
RET-10351,ORD-502574,Defective Product,45779.36,Approved
RET-10352,ORD-502589,Late Delivery,11060.45,Approved
RET-10353,ORD-502594,Wrong Item,0.0,Rejected
RET-10354,ORD-502596,Defective Product,34239.61,Approved
RET-10355,ORD-502598,Damaged in Transit,6821.54,Approved
RET-10356,ORD-502601,Late Delivery,2442.13,Approved
RET-10357,ORD-502608,Defective Product,20672.31,Approved
RET-10358,ORD-502615,Damaged in Transit,1119.67,Pending
RET-10359,ORD-502629,Customer Dissatisfaction,13380.19,Approved
RET-10360,ORD-502639,Size Issue,22611.81,Approved
RET-10361,ORD-502644,Defective Product,6455.69,Approved
RET-10362,ORD-502652,Late Delivery,109287.04,Approved
RET-10363,ORD-502658,Wrong Item,200677.98,Approved
RET-10364,ORD-502667,Defective Product,45217.27,Approved
RET-10365,ORD-502671,Damaged in Transit,5583.83,Approved
RET-10366,ORD-502672,Size Issue,6075.38,Approved
RET-10367,ORD-502677,Defective Product,10423.41,Approved
RET-10368,ORD-502684,Late Delivery,19979.84,Approved
RET-10369,ORD-502694,Late Delivery,0.0,Rejected
RET-10370,ORD-502696,,14316.53,Pending
RET-10371,ORD-502700,Size Issue,8169.84,Approved
RET-10372,ORD-502705,Customer Dissatisfaction,1570.81,Approved
RET-10373,ORD-502719,Defective Product,10563.53,Pending
RET-10374,ORD-502723,Defective Product,58216.58,Approved
RET-10375,ORD-502731,Damaged in Transit,5144.4,Approved
RET-10376,ORD-502748,Late Delivery,13599.16,Approved
RET-10377,ORD-502752,Customer Dissatisfaction,123523.28,Approved
RET-10378,ORD-502769,Late Delivery,0.0,Rejected
RET-10379,ORD-502791,Wrong Item,107257.17,Approved
RET-10380,ORD-502812,Wrong Item,19907.57,Approved
RET-10381,ORD-502813,Customer Dissatisfaction,0.0,Rejected
RET-10382,ORD-502818,Wrong Item,52568.63,Approved
RET-10383,ORD-502825,Late Delivery,1847.2,Approved
RET-10384,ORD-502828,Customer Dissatisfaction,19924.06,Approved
RET-10385,ORD-502839,Wrong Item,1812.77,Approved
RET-10386,ORD-502857,Defective Product,659.35,Pending
RET-10387,ORD-502863,Customer Dissatisfaction,0.0,Rejected
RET-10388,ORD-502866,Damaged in Transit,6931.93,Approved
RET-10389,ORD-502869,Damaged in Transit,122664.4,Approved
RET-10390,ORD-502875,Customer Dissatisfaction,59923.45,Approved
RET-10391,ORD-502876,Size Issue,3111.72,Approved
RET-10392,ORD-502881,Customer Dissatisfaction,53650.07,Approved
RET-10393,ORD-502882,Late Delivery,19971.35,Approved
RET-10394,ORD-502886,Damaged in Transit,169405.94,Approved
RET-10395,ORD-502888,Damaged in Transit,143779.46,Approved
RET-10396,ORD-502902,Damaged in Transit,574620.83,Approved
RET-10397,ORD-502903,Size Issue,27203.69,Approved
RET-10398,ORD-502911,Customer Dissatisfaction,9022.61,Approved
RET-10399,ORD-502913,Customer Dissatisfaction,0.0,Rejected
RET-10400,ORD-502927,Wrong Item,0.0,Rejected
RET-10401,ORD-502929,Damaged in Transit,3058.07,Approved
RET-10402,ORD-502930,Size Issue,3176.61,Pending
RET-10403,ORD-502933,Size Issue,21186.93,Approved
RET-10404,ORD-502937,Late Delivery,50356.3,Approved
RET-10405,ORD-502944,Size Issue,3845.01,Pending
RET-10406,ORD-502945,Late Delivery,9331.86,Pending
RET-10407,ORD-502973,Defective Product,15208.72,Approved
RET-10408,ORD-502986,Wrong Item,876.98,Approved
RET-10409,ORD-502990,Defective Product,5264.2,Approved
RET-10410,ORD-502995,Wrong Item,5360.86,Approved
RET-10411,ORD-503016,Defective Product,59342.91,Approved
RET-10412,ORD-503023,Size Issue,308619.05,Approved
RET-10413,ORD-503024,Size Issue,3752.8,Approved
RET-10414,ORD-503028,Late Delivery,5005.6,Pending
RET-10415,ORD-503031,Late Delivery,52279.64,Pending
RET-10416,ORD-503032,Size Issue,42352.23,Approved
RET-10417,ORD-503033,Defective Product,46175.39,Approved
RET-10418,ORD-503039,Wrong Item,49716.12,Pending
RET-10419,ORD-503040,Wrong Item,11167.93,Approved
RET-10420,ORD-503044,Wrong Item,90046.68,Pending
RET-10421,ORD-503045,,10795.57,Pending
RET-10422,ORD-503051,Late Delivery,44996.13,Approved
RET-10423,ORD-503055,Size Issue,2748.52,Approved
RET-10424,ORD-503057,Damaged in Transit,4724.24,Pending
RET-10425,ORD-503065,Size Issue,32618.4,Approved
RET-10426,ORD-503074,Late Delivery,0.0,Rejected
RET-10427,ORD-503094,Defective Product,1698.54,Approved
RET-10428,ORD-503100,Customer Dissatisfaction,9544.46,Approved
RET-10429,ORD-503103,Customer Dissatisfaction,53846.46,Approved
RET-10430,ORD-503110,Wrong Item,99050.68,Approved
RET-10431,ORD-503120,Customer Dissatisfaction,3309.87,Approved
RET-10432,ORD-503134,Defective Product,22890.02,Approved
RET-10433,ORD-503137,Defective Product,0.0,Rejected
RET-10434,ORD-503138,Damaged in Transit,150268.2,Pending
RET-10435,ORD-503144,Late Delivery,160871.27,Approved
RET-10436,ORD-503147,Defective Product,4418.03,Approved
RET-10437,ORD-503148,Late Delivery,0.0,Rejected
RET-10438,ORD-503161,Late Delivery,79441.59,Approved
RET-10439,ORD-503164,Late Delivery,8200.68,Pending
RET-10440,ORD-503165,Customer Dissatisfaction,129986.97,Approved
RET-10441,ORD-503176,Damaged in Transit,15571.34,Approved
RET-10442,ORD-503176,Size Issue,15796.3,Approved
RET-10443,ORD-503195,Customer Dissatisfaction,0.0,Rejected
RET-10444,ORD-503213,Customer Dissatisfaction,19791.49,Approved
RET-10445,ORD-503218,Defective Product,4481.62,Approved
RET-10446,ORD-503246,Late Delivery,9711.8,Pending
RET-10447,ORD-503248,Size Issue,88700.23,Pending
RET-10448,ORD-503264,Defective Product,10563.92,Approved
RET-10449,ORD-503278,Damaged in Transit,3001.15,Pending
RET-10450,ORD-503294,Late Delivery,240018.97,Approved
RET-10451,ORD-503295,Customer Dissatisfaction,16034.82,Approved
RET-10452,ORD-503297,Damaged in Transit,137497.8,Approved
RET-10453,ORD-503301,Late Delivery,0.0,Rejected
RET-10454,ORD-503302,Damaged in Transit,1255.06,Approved
RET-10455,ORD-503304,Damaged in Transit,1692.01,Approved
RET-10456,ORD-503305,Size Issue,77428.88,Approved
RET-10457,ORD-503313,Late Delivery,23792.63,Pending
RET-10458,ORD-503316,Damaged in Transit,0.0,Rejected
RET-10459,ORD-503322,Size Issue,0.0,Rejected
RET-10460,ORD-503333,Damaged in Transit,1623.66,Approved
RET-10461,ORD-503354,Defective Product,0.0,Rejected
RET-10462,ORD-503355,Damaged in Transit,49171.89,Approved
RET-10463,ORD-503357,Late Delivery,9708.2,Approved
RET-10464,ORD-503359,Late Delivery,40672.04,Approved
RET-10465,ORD-503393,Defective Product,12984.4,Approved
RET-10466,ORD-503396,Defective Product,15723.24,Approved
RET-10467,ORD-503406,Customer Dissatisfaction,0.0,Rejected
