Product_ID,Product_Name,Category,Sub_Category,Supplier,Manufacturing_Cost,Retail_Price
PRD-10058,Dress 775,Fashion,Women Clothing,UrbanStyle Wholesale,3240.34,5362.8
PRD-10059,Charger 795,Electronics,Accessories,ElectroHub Supply,65275.41,70122.38
PRD-10060,Keyboard 139,Electronics,Accessories,Nova Imports,71941.92,80583.19
PRD-10061,Wireless Earbuds 494,Fashion,Accessories,TrendHive India,4075.71,6780.48
PRD-10062,Smart Hub 925,Electronics,Smart Devices,TechCore India,28850.26,30705.53
PRD-10063,Pendant Light 171,Home Decor,Lighting,Aura Living,4790.32,6703.99
PRD-10064,Pendant Light 619,Home Decor,Lighting,CraftEdge Home,16414.89,25463.69
PRD-10065,Saree 780,Fashion,Women Clothing,UrbanStyle Wholesale,233.37,356.77
PRD-10066,Bookshelf 953,Furniture,Storage,WoodCraft India,22035.73,20933.94
PRD-10067,Tissue Pack 429,Grocery,Household Essentials,PrimeGrocers Ltd,257.33,272.87
PRD-10068,Luxury Sofa 774,Furniture,Sofas,UrbanSpace Furniture,47259.67,59766.5
PRD-10069,Vase 938,Home Decor,Decorative Items,Aura Living,10520.18,15738.79
PRD-10070,Dining Table 350,Furniture,Tables,Elite Furnishings,19454.22,27126.12
PRD-10071,Smart Hub 689,Electronics,Smart Devices,ByteKart Technologies,77183.55,83569.08
PRD-10072,Coffee Table 105,Furniture,Tables,UrbanSpace Furniture,25867.93,32598.14
PRD-10073,Smart Watch 923,Electronics,Smart Devices,Nova Imports,26363.04,27807.61
PRD-10074,Executive Chair 920,Furniture,Chairs,WoodCraft India,31259.09,40653.57
PRD-10075,Storage Box 727,Office Supplies,Storage Items,Stationery Hub,609.64,735.06
PRD-10076,Detergent 861,Grocery,Household Essentials,DailyNeeds Supply,1818.37,1912.13
PRD-10077,Cabinet 741,Furniture,Storage,UrbanSpace Furniture,8954.95,11622.54
PRD-10078,Abstract Painting 443,Home Decor,Wall Art,DecorNova,19717.31,26317.08
PRD-10079,Luxury Sofa 823,Furniture,Sofas,UrbanSpace Furniture,34262.51,46334.01
PRD-10080,Wireless Earbuds 311,Fashion,Accessories,FashionNest Apparel,1340.66,2151.59
PRD-10081,Storage Box 588,Office Supplies,Storage Items,OfficePro India,3741.05,3554.0
PRD-10082,Energy Drink 852,Grocery,Beverages,PrimeGrocers Ltd,1274.39,1374.07
PRD-10083,Corner Sofa 546,Furniture,Sofas,Elite Furnishings,6333.91,8658.84
PRD-10084,Vase 960,Home Decor,Decorative Items,Aura Living,6619.37,8706.33
PRD-10085,Smart Watch 758,Electronics,Smart Devices,TechCore India,8058.14,9080.04
PRD-10086,Gaming Mouse 565,Fashion,Accessories,FashionNest Apparel,3452.31,4680.66
PRD-10087,Coffee 954,Grocery,Beverages,DailyNeeds Supply,1033.94,1086.03
PRD-10088,Notebook 765,Office Supplies,Stationery,Stationery Hub,6487.21,7686.52
PRD-10089,Nova 959,Electronics,Mobile Phones,Nova Imports,56820.33,57956.74
PRD-10090,LED Lamp 576,Home Decor,Lighting,CraftEdge Home,18753.58,24344.63
PRD-10091,File Organizer 896,Office Supplies,Storage Items,Corporate Essentials,3476.56,4076.94
PRD-10092,SmartOne 506,Electronics,Mobile Phones,ElectroHub Supply,74352.02,86549.77
PRD-10093,Wall Light 891,Home Decor,Lighting,DecorNova,5381.45,7969.9
PRD-10094,Marker Kit 538,Office Supplies,Stationery,Stationery Hub,8190.5,10328.55
PRD-10095,Abstract Painting 942,Home Decor,Wall Art,DecorNova,10734.12,14326.28
PRD-10096,Cleaner 280,Grocery,Household Essentials,FreshKart Distributors,204.34,226.97
PRD-10097,Charger 945,Fashion,Accessories,FashionNest Apparel,4522.01,7106.73
PRD-10098,Office Chair 349,Furniture,Chairs,WoodCraft India,18273.43,23204.37
PRD-10099,Canvas Art 606,Home Decor,Wall Art,Aura Living,14601.33,22836.31
PRD-10100,Sandals 818,Fashion,Footwear,FashionNest Apparel,4458.01,7235.16
PRD-10101,Notebook 837,Office Supplies,Stationery,OfficePro India,6456.11,7533.17
PRD-10102,Recliner 602,Furniture,Sofas,UrbanSpace Furniture,9758.18,13463.47
PRD-10103,Kurti 413,Fashion,Women Clothing,FashionNest Apparel,3110.86,4209.67
PRD-10104,Storage Box 863,Office Supplies,Storage Items,Stationery Hub,1104.57,1416.83
PRD-10105,Coffee 336,Grocery,Beverages,DailyNeeds Supply,30.02,31.36
PRD-10106,PowerLite 856,Electronics,Laptops,Nova Imports,46155.03,52614.26
PRD-10107,File Organizer 952,Office Supplies,Storage Items,Stationery Hub,6554.42,7831.57
PRD-10108,Bookshelf 646,Furniture,Storage,Elite Furnishings,36184.6,45138.47
PRD-10109,Charger 205,Electronics,Accessories,Nova Imports,29404.98,33728.8
PRD-10110,Juice 358,Grocery,Beverages,FreshKart Distributors,1306.27,1445.3
PRD-10111,Smart Watch 690,Electronics,Smart Devices,ByteKart Technologies,54320.97,61050.26
PRD-10112,Laser Printer 221,Office Supplies,Printers,OfficePro India,1027.38,1257.04
PRD-10113,Storage Box 561,Office Supplies,Storage Items,OfficePro India,2725.5,3267.32
PRD-10114,Laser Printer 724,Office Supplies,Printers,Stationery Hub,9732.8,11957.91
PRD-10115,Coffee Table 183,Furniture,Tables,WoodCraft India,44818.23,59439.18
PRD-10116,ThinkEdge 561,Electronics,Laptops,TechCore India,64610.85,72063.25
PRD-10117,Running Shoes 172,Fashion,Footwear,TrendHive India,2969.14,4520.16
PRD-10118,Vase 535,Home Decor,Decorative Items,CraftEdge Home,4146.29,6231.29
PRD-10119,Dress 269,Fashion,Women Clothing,UrbanStyle Wholesale,1547.71,2102.58
PRD-10120,Laser Printer 579,Office Supplies,Printers,Stationery Hub,6490.18,7693.6
PRD-10121,Wireless Earbuds 712,Fashion,Accessories,FashionNest Apparel,4714.2,7938.12
PRD-10122,Sneakers 334,Fashion,Footwear,UrbanStyle Wholesale,4591.35,6793.16
PRD-10123,Storage Box 690,Office Supplies,Storage Items,OfficePro India,253.02,337.95
PRD-10124,Cleaner 384,Grocery,Household Essentials,PrimeGrocers Ltd,867.8,969.33
PRD-10125,Abstract Painting 456,Home Decor,Wall Art,DecorNova,19283.31,29861.23
PRD-10126,Bookshelf 607,Furniture,Storage,WoodCraft India,16133.55,20602.86
PRD-10127,Notebook 422,Office Supplies,Stationery,Stationery Hub,8526.25,10345.62
PRD-10128,Tissue Pack 990,Grocery,Household Essentials,FreshKart Distributors,355.6,384.09
PRD-10129,Cabinet 740,Furniture,Storage,UrbanSpace Furniture,46935.43,62856.21
PRD-10130,Saree 815,Fashion,Women Clothing,FashionNest Apparel,2936.29,4063.86
PRD-10131,Vase 418,Home Decor,Decorative Items,DecorNova,12415.64,19821.8
PRD-10132,Smart Hub 952,Electronics,Smart Devices,TechCore India,15506.3,17326.47
PRD-10133,Abstract Painting 583,Home Decor,Wall Art,Aura Living,17584.25,26539.36
PRD-10134,File Organizer 984,Office Supplies,Storage Items,Corporate Essentials,7000.46,9034.07
PRD-10135,Coffee 940,Grocery,Beverages,PrimeGrocers Ltd,731.79,695.2
PRD-10136,Storage Box 986,Office Supplies,Storage Items,Corporate Essentials,8112.68,10644.02
PRD-10137,Sandals 486,Fashion,Footwear,TrendHive India,4361.95,7282.86
PRD-10138,Study Table 339,Furniture,Tables,UrbanSpace Furniture,26544.44,34515.82
PRD-10139,Charger 495,Fashion,Accessories,TrendHive India,4031.82,6360.15
PRD-10140,LED Lamp 229,Home Decor,Lighting,Aura Living,14128.75,21596.18
PRD-10141,Organic Mix 115,Grocery,Packaged Food,PrimeGrocers Ltd,1782.21,1889.89
PRD-10142,Pendant Light 900,Home Decor,Lighting,DecorNova,7698.98,9876.97
PRD-10143,Wall Light 979,Home Decor,Lighting,Aura Living,11692.12,14762.23
PRD-10144,Tissue Pack 170,Grocery,Household Essentials,FreshKart Distributors,941.88,1016.14
PRD-10145,Dress 544,Fashion,Women Clothing,TrendHive India,1575.4,2452.57
PRD-10146,LED Lamp 810,Home Decor,Lighting,Aura Living,900.85,855.81
PRD-10147,Keyboard 541,Electronics,Accessories,ElectroHub Supply,66695.04,73152.77
PRD-10148,Dining Table 724,Furniture,Tables,Elite Furnishings,8098.9,10564.6
PRD-10149,Luxury Sofa 337,Furniture,Sofas,UrbanSpace Furniture,38959.69,48433.29
PRD-10150,Jacket 793,Fashion,Men Clothing,FashionNest Apparel,3189.87,4401.61
PRD-10151,Running Shoes 806,Fashion,Footwear,TrendHive India,448.07,688.22
PRD-10152,Luxury Sofa 342,Furniture,Sofas,WoodCraft India,27950.49,37103.88
PRD-10153,Sandals 505,Fashion,Footwear,UrbanStyle Wholesale,3685.24,6233.76
PRD-10154,Decor Sculpture 952,Home Decor,Decorative Items,DecorNova,10471.12,14272.5
PRD-10155,Laser Printer 735,Office Supplies,Printers,OfficePro India,7972.34,9600.02
PRD-10156,Vase 742,Home Decor,Decorative Items,DecorNova,8947.74,11430.38
PRD-10157,Laser Printer 192,Office Supplies,Printers,Corporate Essentials,350.97,471.19
PRD-10158,Snacks Pack 905,Grocery,Packaged Food,FreshKart Distributors,1675.24,1830.43
PRD-10159,File Organizer 363,Office Supplies,Storage Items,Stationery Hub,4148.63,4914.71
PRD-10160,Running Shoes 177,Fashion,Footwear,UrbanStyle Wholesale,950.9,1367.0
PRD-10161,Decor Sculpture 966,Home Decor,Decorative Items,CraftEdge Home,11119.77,16680.86
PRD-10162,Charger 477,Electronics,Accessories,TechCore India,54514.8,59224.41
PRD-10163,Canvas Art 582,Home Decor,Wall Art,DecorNova,19110.85,51883.58
PRD-10164,Notebook 750,Office Supplies,Stationery,Corporate Essentials,5588.11,7110.0
PRD-10165,Gaming Mouse 146,Fashion,Accessories,UrbanStyle Wholesale,2214.08,3180.98
PRD-10166,Snacks Pack 650,Grocery,Packaged Food,FreshKart Distributors,724.83,796.01
PRD-10167,Decor Sculpture 701,Home Decor,Decorative Items,CraftEdge Home,583.55,753.14
PRD-10168,Smart Camera 133,Electronics,Smart Devices,ByteKart Technologies,8450.2,8917.45
PRD-10169,Bookshelf 476,Furniture,Storage,Elite Furnishings,43062.11,57734.73
PRD-10170,Jacket 294,Fashion,Men Clothing,FashionNest Apparel,2476.03,3427.42
PRD-10171,Snacks Pack 757,Grocery,Packaged Food,PrimeGrocers Ltd,993.4,1065.53
PRD-10172,Gaming Mouse 905,Electronics,Accessories,Nova Imports,17990.14,19904.3
PRD-10173,Study Table 892,Furniture,Tables,Elite Furnishings,21128.23,27956.24
PRD-10174,Gaming Mouse 653,Electronics,Accessories,Nova Imports,52632.02,55573.6
PRD-10175,ZenPro 908,Electronics,Laptops,TechCore India,33095.95,37443.49
PRD-10176,Hoodie 638,Fashion,Men Clothing,UrbanStyle Wholesale,2615.05,4314.23
PRD-10177,Energy Drink 211,Grocery,Beverages,PrimeGrocers Ltd,1324.21,1383.35
PRD-10178,Marker Kit 633,Office Supplies,Stationery,Corporate Essentials,798.63,1021.04
PRD-10179,SmartOne 536,Electronics,Mobile Phones,ByteKart Technologies,6988.35,7869.94
PRD-10180,Nova 167,Electronics,Mobile Phones,ElectroHub Supply,75517.27,84942.7
PRD-10181,Abstract Painting 564,Home Decor,Wall Art,Aura Living,7946.95,11722.95
PRD-10182,ThinkEdge 333,Electronics,Laptops,ByteKart Technologies,39368.97,44129.87
PRD-10183,Pendant Light 420,Home Decor,Lighting,Aura Living,18846.86,26105.46
PRD-10184,Snacks Pack 195,Grocery,Packaged Food,FreshKart Distributors,1923.16,2137.56
PRD-10185,Dress 700,Fashion,Women Clothing,TrendHive India,1139.8,1566.4
PRD-10186,Pendant Light 994,Home Decor,Lighting,Aura Living,2285.33,2871.24
PRD-10187,Wall Light 419,Home Decor,Lighting,Aura Living,2160.53,3217.14
PRD-10188,Canvas Art 458,Home Decor,Wall Art,DecorNova,1702.42,2318.09
PRD-10189,Marker Kit 885,Office Supplies,Stationery,Stationery Hub,8464.27,9773.31
PRD-10190,Decor Sculpture 129,Home Decor,Decorative Items,DecorNova,16345.03,22043.71
PRD-10191,Sneakers 990,Fashion,Footwear,UrbanStyle Wholesale,767.19,1222.79
PRD-10192,UltraBook 864,Electronics,Laptops,TechCore India,52170.71,60730.43
PRD-10193,Bookshelf 432,Furniture,Storage,WoodCraft India,37283.41,50731.39
PRD-10194,Nova 872,Electronics,Mobile Phones,Nova Imports,26152.59,28063.48
PRD-10195,Abstract Painting 524,Home Decor,Wall Art,Aura Living,15087.11,23119.37
PRD-10196,Instant Meal 794,Grocery,Packaged Food,DailyNeeds Supply,1981.2,2114.21
PRD-10197,Hoodie 713,Fashion,Men Clothing,UrbanStyle Wholesale,1985.69,3220.28
PRD-10198,Study Table 435,Furniture,Tables,WoodCraft India,18358.57,25447.76
PRD-10199,Organic Mix 645,Grocery,Packaged Food,FreshKart Distributors,1719.66,1837.64
PRD-10200,Abstract Painting 982,Home Decor,Wall Art,DecorNova,15092.16,22850.89
PRD-10201,Charger 826,Electronics,Accessories,ByteKart Technologies,12734.29,14865.14
PRD-10202,Saree 951,Fashion,Women Clothing,TrendHive India,2625.21,4303.4
PRD-10203,Organic Mix 703,Grocery,Packaged Food,FreshKart Distributors,653.7,726.0
PRD-10204,Running Shoes 897,Fashion,Footwear,UrbanStyle Wholesale,2068.17,2799.87
PRD-10205,ZenPro 844,Electronics,Laptops,ElectroHub Supply,72903.65,77414.0
PRD-10206,PowerLite 277,Electronics,Laptops,ElectroHub Supply,28948.52,33971.32
PRD-10207,Recliner 878,Furniture,Sofas,WoodCraft India,47629.14,62617.44
PRD-10208,Storage Box 984,Office Supplies,Storage Items,Corporate Essentials,6355.19,7878.46
PRD-10209,Organic Mix 746,Grocery,Packaged Food,DailyNeeds Supply,600.56,636.34
PRD-10210,Keyboard 572,Electronics,Accessories,TechCore India,55438.88,63633.23
PRD-10211,SmartOne 694,Electronics,Mobile Phones,ByteKart Technologies,64368.43,74194.29
PRD-10212,Detergent 429,Grocery,Household Essentials,PrimeGrocers Ltd,200.59,215.53
PRD-10213,Smart Camera 831,Electronics,Smart Devices,TechCore India,9316.91,9503.25
PRD-10214,Canvas Art 472,Home Decor,Wall Art,Aura Living,8998.15,14043.38
PRD-10215,Jacket 167,Fashion,Men Clothing,TrendHive India,1884.39,2621.14
PRD-10216,Energy Drink 972,Grocery,Beverages,DailyNeeds Supply,303.12,332.99
PRD-10217,Bookshelf 779,Furniture,Storage,Elite Furnishings,31674.47,38649.97
PRD-10218,Decor Sculpture 232,Home Decor,Decorative Items,CraftEdge Home,1956.9,2926.23
PRD-10219,Detergent 786,Grocery,Household Essentials,DailyNeeds Supply,164.07,181.13
PRD-10220,Decor Sculpture 620,Home Decor,Decorative Items,DecorNova,14212.97,18170.89
PRD-10221,Wardrobe 331,Furniture,Storage,WoodCraft India,6072.21,8484.87
PRD-10222,T-Shirt 777,Fashion,Men Clothing,TrendHive India,1996.5,2954.27
PRD-10223,Luxury Sofa 285,Furniture,Sofas,Elite Furnishings,41014.38,56987.42
PRD-10224,Corner Sofa 473,Furniture,Sofas,Elite Furnishings,49328.05,66626.2
PRD-10225,Tissue Pack 902,Grocery,Household Essentials,DailyNeeds Supply,764.99,793.69
PRD-10226,Keyboard 794,Fashion,Accessories,UrbanStyle Wholesale,3930.31,6074.06
PRD-10227,Energy Drink 640,Grocery,Beverages,DailyNeeds Supply,859.96,955.91
PRD-10228,Dining Table 756,Furniture,Tables,WoodCraft India,7337.48,9527.9
PRD-10229,XPhone 881,Electronics,Mobile Phones,ElectroHub Supply,5851.52,6500.61
PRD-10230,Organic Mix 457,Grocery,Packaged Food,FreshKart Distributors,131.48,136.83
PRD-10231,Detergent 495,Grocery,Household Essentials,DailyNeeds Supply,252.7,275.05
PRD-10232,Keyboard 910,Electronics,Accessories,TechCore India,60953.37,68623.62
PRD-10233,Tissue Pack 580,Grocery,Household Essentials,,1925.1,2047.8
PRD-10234,Nova 955,Electronics,Mobile Phones,ElectroHub Supply,26428.41,30734.07
PRD-10235,Snacks Pack 408,Grocery,Packaged Food,DailyNeeds Supply,462.72,516.71
PRD-10236,Vase 213,Home Decor,Decorative Items,Aura Living,539.44,857.42
PRD-10237,Vase 835,Home Decor,Decorative Items,CraftEdge Home,1150.25,1796.58
PRD-10238,Recliner 784,Furniture,Sofas,Elite Furnishings,27329.65,38223.06
PRD-10239,SmartOne 144,Electronics,Mobile Phones,ByteKart Technologies,10534.74,11819.99
PRD-10240,Keyboard 346,Electronics,Accessories,TechCore India,77697.69,86866.23
PRD-10241,Canvas Art 460,Home Decor,Wall Art,DecorNova,12699.15,18966.33
PRD-10242,Abstract Painting 746,Home Decor,Wall Art,CraftEdge Home,9254.46,13600.77
PRD-10243,Snacks Pack 144,Grocery,Packaged Food,DailyNeeds Supply,1176.94,1307.7
PRD-10244,Running Shoes 934,Fashion,Footwear,TrendHive India,418.14,605.61
PRD-10245,Pendant Light 982,Home Decor,Lighting,Aura Living,19023.11,29706.34
PRD-10246,Charger 861,Electronics,Accessories,ByteKart Technologies,39174.26,44291.09
PRD-10247,Corner Sofa 476,Furniture,Sofas,UrbanSpace Furniture,15314.3,18953.35
PRD-10248,Smart Camera 716,Electronics,Smart Devices,TechCore India,39777.38,43593.45
PRD-10249,PixelMax 413,Electronics,Mobile Phones,ElectroHub Supply,48774.21,51705.81
PRD-10250,Juice 844,Grocery,Beverages,DailyNeeds Supply,1949.3,2180.8
PRD-10251,Juice 176,Grocery,Beverages,PrimeGrocers Ltd,1402.36,1512.09
PRD-10252,File Organizer 131,Office Supplies,Storage Items,Corporate Essentials,3164.32,4153.99
PRD-10253,Snacks Pack 341,Grocery,Packaged Food,FreshKart Distributors,1375.77,1437.18
PRD-10254,Tissue Pack 257,Grocery,Household Essentials,FreshKart Distributors,1823.64,2013.35
PRD-10255,Gaming Mouse 642,Fashion,Accessories,UrbanStyle Wholesale,4759.04,7633.51
PRD-10256,Dress 853,Fashion,Women Clothing,UrbanStyle Wholesale,3144.39,4705.22
PRD-10257,Pen Set 820,Office Supplies,Stationery,Stationery Hub,9334.01,12350.88
PRD-10258,Wireless Earbuds 238,Fashion,Accessories,UrbanStyle Wholesale,417.05,566.87
PRD-10259,Abstract Painting 783,Home Decor,Wall Art,DecorNova,7716.33,11834.49
PRD-10260,Kurti 912,Fashion,Women Clothing,TrendHive India,4938.93,6927.57
PRD-10261,Study Table 126,Furniture,Tables,Elite Furnishings,30518.27,38946.75
PRD-10262,Tissue Pack 188,Grocery,Household Essentials,FreshKart Distributors,1940.43,2145.71
PRD-10263,Decor Sculpture 887,Home Decor,Decorative Items,Aura Living,16815.08,23777.24
PRD-10264,Hoodie 796,Fashion,Men Clothing,FashionNest Apparel,2191.13,3167.7
PRD-10265,File Organizer 886,Office Supplies,Storage Items,Corporate Essentials,658.12,870.66
PRD-10266,PixelMax 268,Electronics,Mobile Phones,Nova Imports,65967.58,77839.32
PRD-10267,Inkjet Printer 301,Office Supplies,Printers,OfficePro India,9966.7,12568.87
PRD-10268,Bookshelf 195,Furniture,Storage,UrbanSpace Furniture,38911.4,54046.11
PRD-10269,Marker Kit 739,Office Supplies,Stationery,OfficePro India,8511.51,10209.3
PRD-10270,Notebook 146,Office Supplies,Stationery,OfficePro India,4560.39,5362.25
PRD-10271,Saree 732,Fashion,Women Clothing,TrendHive India,4779.44,7466.26
PRD-10272,Decor Sculpture 594,Home Decor,Decorative Items,Aura Living,4804.26,7134.78
PRD-10273,Snacks Pack 261,Grocery,Packaged Food,PrimeGrocers Ltd,1243.89,1321.3
PRD-10274,Wardrobe 420,Furniture,Storage,UrbanSpace Furniture,7450.76,9941.66
PRD-10275,Keyboard 627,Fashion,Accessories,UrbanStyle Wholesale,2697.48,4370.76
PRD-10276,Organic Mix 353,Grocery,Packaged Food,DailyNeeds Supply,1049.92,1161.94
PRD-10277,Detergent 986,Grocery,Household Essentials,DailyNeeds Supply,1112.78,1202.34
PRD-10278,File Organizer 881,Office Supplies,Storage Items,Stationery Hub,8778.87,10804.13
PRD-10279,Coffee 123,Grocery,Beverages,DailyNeeds Supply,285.35,294.65
PRD-10280,Instant Meal 461,Grocery,Packaged Food,FreshKart Distributors,1515.17,1645.21
PRD-10281,Storage Box 392,Office Supplies,Storage Items,Corporate Essentials,7070.39,8432.1
PRD-10282,Instant Meal 474,Grocery,Packaged Food,DailyNeeds Supply,290.02,299.1
PRD-10283,Instant Meal 299,Grocery,Packaged Food,PrimeGrocers Ltd,714.16,773.5
PRD-10284,Tissue Pack 386,Grocery,Household Essentials,DailyNeeds Supply,796.64,851.91
PRD-10285,Notebook 503,Office Supplies,Stationery,OfficePro India,9051.17,11039.27
PRD-10286,Laser Printer 716,Office Supplies,Printers,OfficePro India,5188.5,6779.97
PRD-10287,PixelMax 923,Electronics,Mobile Phones,Nova Imports,34740.71,39287.27
PRD-10288,Marker Kit 426,Office Supplies,Stationery,Stationery Hub,8637.4,11573.29
PRD-10289,Abstract Painting 619,Home Decor,Wall Art,CraftEdge Home,3197.35,5033.61
PRD-10290,Keyboard 439,Fashion,Accessories,UrbanStyle Wholesale,2562.16,3690.5
PRD-10291,Laser Printer 711,Office Supplies,Printers,Corporate Essentials,4645.44,6252.79
PRD-10292,File Organizer 697,Office Supplies,Storage Items,OfficePro India,4976.92,6050.69
PRD-10293,Vase 941,Home Decor,Decorative Items,Aura Living,12778.0,17046.5
PRD-10294,ThinkEdge 421,Electronics,Laptops,TechCore India,10689.75,11403.34
PRD-10295,File Organizer 822,Office Supplies,Storage Items,Stationery Hub,1367.65,1614.35
PRD-10296,Charger 421,Fashion,Accessories,TrendHive India,866.37,1363.93
PRD-10297,Inkjet Printer 792,Office Supplies,Printers,Corporate Essentials,1900.61,2317.1
PRD-10298,Decor Sculpture 296,Home Decor,Decorative Items,Aura Living,17966.73,25438.85
PRD-10299,Sneakers 806,Fashion,Footwear,TrendHive India,3404.28,4801.1
PRD-10300,Sneakers 687,Fashion,Footwear,FashionNest Apparel,1122.99,1532.1
PRD-10301,Coffee 143,Grocery,Beverages,FreshKart Distributors,354.49,374.01
PRD-10302,Keyboard 865,Fashion,Accessories,TrendHive India,1049.65,1449.61
PRD-10303,Inkjet Printer 240,Office Supplies,Printers,Corporate Essentials,1294.3,1607.72
PRD-10304,Coffee Table 643,Furniture,Tables,Elite Furnishings,11904.02,15152.08
PRD-10305,Smart Hub 583,Electronics,Smart Devices,,42756.3,48731.55
PRD-10306,Marker Kit 999,Office Supplies,Stationery,Stationery Hub,489.19,640.78
PRD-10307,Sandals 160,Fashion,Footwear,FashionNest Apparel,3213.92,4430.76
